"","weighting","trial","analysis_set","include_risk_score","high_d_surrogate","AUC"
"1","unnormalized","Moderna (naive)","naive_only",FALSE,FALSE,0.778570807307214
"2","unnormalized","Moderna (naive)","naive_only",FALSE,TRUE,0.822731460125181
"3","unnormalized","AstraZeneca (naive)","naive_only",FALSE,FALSE,0.775544384258731
"4","unnormalized","AstraZeneca (naive)","naive_only",FALSE,TRUE,0.913398292027624
"5","unnormalized","Janssen (naive)","naive_only",FALSE,FALSE,0.686223788382757
"6","unnormalized","Janssen (naive)","naive_only",FALSE,TRUE,0.743381943279069
"7","unnormalized","Novavax (naive)","naive_only",FALSE,FALSE,0.796860388658199
"8","unnormalized","Novavax (naive)","naive_only",FALSE,TRUE,0.834627010587646
"9","unnormalized","Sanofi 1 (naive)","naive_only",FALSE,FALSE,0.726149628782633
"10","unnormalized","Sanofi 1 (naive)","naive_only",FALSE,TRUE,0.767147626874752
"11","unnormalized","Sanofi 1 (non-naive)","naive_only",FALSE,FALSE,0.439948403327918
"12","unnormalized","Sanofi 1 (non-naive)","naive_only",FALSE,TRUE,0.556388489163362
"13","unnormalized","Sanofi 2 (naive)","naive_only",FALSE,FALSE,0.394277678891006
"14","unnormalized","Sanofi 2 (naive)","naive_only",FALSE,TRUE,0.486447499746641
"15","unnormalized","Sanofi 2 (non-naive)","naive_only",FALSE,FALSE,0.705738594723939
"16","unnormalized","Sanofi 2 (non-naive)","naive_only",FALSE,TRUE,0.736545359014388
