"","surrogate","weighting","trial","analysis_set","include_risk_score","cox","sl"
"1","bindSpike","unnormalized","Moderna (naive)","naive_only",FALSE,0.782749899015941,0.779574448871534
"2","bindSpike","unnormalized","AstraZeneca (naive)","naive_only",FALSE,0.80541650485726,0.831948026638782
"3","bindSpike","unnormalized","Janssen (naive)","naive_only",FALSE,0.633677533618152,0.636155926785361
"4","bindSpike","unnormalized","Novavax (naive)","naive_only",FALSE,0.786988433197286,0.796749720492239
"5","bindSpike","unnormalized","Sanofi 1 (naive)","naive_only",FALSE,0.765073979586044,0.806958166009278
"6","bindSpike","unnormalized","Sanofi 1 (non-naive)","naive_only",FALSE,0.616788775819269,0.636963957135003
"7","bindSpike","unnormalized","Sanofi 2 (naive)","naive_only",FALSE,0.506521572285004,0.522783484723645
"8","bindSpike","unnormalized","Sanofi 2 (non-naive)","naive_only",FALSE,0.791810562867675,0.78130301338875
"9","pseudoneutid50","unnormalized","Moderna (naive)","naive_only",FALSE,0.782440596150904,0.778884911954065
"10","pseudoneutid50","unnormalized","AstraZeneca (naive)","naive_only",FALSE,0.811570690681738,0.831136323875818
"11","pseudoneutid50","unnormalized","Janssen (naive)","naive_only",FALSE,0.628307601866099,0.628505465673203
"12","pseudoneutid50","unnormalized","Novavax (naive)","naive_only",FALSE,0.789222882512213,0.798485002510528
"13","pseudoneutid50","unnormalized","Sanofi 1 (naive)","naive_only",FALSE,0.763033402189417,0.789931354001309
"14","pseudoneutid50","unnormalized","Sanofi 1 (non-naive)","naive_only",FALSE,0.607933559793289,0.633004705731053
"15","pseudoneutid50","unnormalized","Sanofi 2 (naive)","naive_only",FALSE,0.481846256122158,0.500291056791332
"16","pseudoneutid50","unnormalized","Sanofi 2 (non-naive)","naive_only",FALSE,0.798871204975042,0.775655249654587
"17","pseudoneutid50_adjusted","unnormalized","Moderna (naive)","naive_only",FALSE,0.781258804954294,0.777724551151294
"18","pseudoneutid50_adjusted","unnormalized","AstraZeneca (naive)","naive_only",FALSE,0.814258281548168,0.834085162528041
"19","pseudoneutid50_adjusted","unnormalized","Janssen (naive)","naive_only",FALSE,0.617749843460899,0.619179311880712
"20","pseudoneutid50_adjusted","unnormalized","Novavax (naive)","naive_only",FALSE,0.786240238411846,0.79557497068554
"21","pseudoneutid50_adjusted","unnormalized","Sanofi 1 (naive)","naive_only",FALSE,0.739331826535646,0.775394534518829
"22","pseudoneutid50_adjusted","unnormalized","Sanofi 1 (non-naive)","naive_only",FALSE,0.614634410705799,0.64613992837993
"23","pseudoneutid50_adjusted","unnormalized","Sanofi 2 (naive)","naive_only",FALSE,0.442875088929378,0.480034215149836
"24","pseudoneutid50_adjusted","unnormalized","Sanofi 2 (non-naive)","naive_only",FALSE,0.817516576007124,0.792218660098475
